ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785521916.725,5.5,100.0,89.51,6.0,36.0,0,0,43831,116.74,0,0,43831,115.72,0,0,3,35.37,0,0,3,33.83
1785521917.725,4.3,100.0,89.51,2.0,40.0,0,0,43831,116.63,0,0,43831,115.72,0,0,3,35.31,0,0,3,33.68
1785521918.725,5.1,100.0,89.52,3.0,34.0,0,0,43831,116.57,0,0,43831,115.57,0,0,3,35.40,0,0,3,33.68
1785521919.725,5.8,100.0,89.52,6.0,35.0,0,0,43831,116.49,0,0,43831,115.48,0,0,3,35.42,0,0,3,33.68
1785521920.725,6.4,100.0,89.50,2.0,38.0,0,0,43831,116.40,0,0,43831,115.35,0,0,3,35.42,0,0,3,33.63
1785521921.725,8.3,100.0,89.68,3.0,32.0,0,0,43831,116.31,0,0,43831,115.20,0,0,3,35.37,0,0,3,33.68
1785521922.725,4.7,99.0,89.68,7.0,31.0,0,0,43831,116.21,0,0,43831,115.17,0,0,3,35.37,0,0,3,33.68
1785521923.725,4.8,100.0,89.67,2.0,36.0,0,0,43831,116.18,0,0,43831,115.14,0,0,3,35.41,0,0,3,33.68
1785521924.725,4.5,100.0,89.68,3.0,32.0,0,0,43831,116.13,0,0,43831,115.07,0,0,3,35.35,0,0,3,33.68
1785521925.726,4.8,100.0,89.69,5.0,31.0,0,0,43831,116.07,0,0,43831,114.96,0,0,3,35.36,0,0,3,33.63
1785521926.726,4.6,100.0,89.85,2.0,31.0,0,0,43831,115.96,0,0,43831,114.89,0,0,3,35.42,0,0,3,33.68
1785521927.726,11.3,100.0,90.16,5.0,24.0,0,0,43831,115.93,0,0,43831,114.84,0,0,3,35.42,0,0,3,33.68
1785521928.726,5.5,100.0,88.44,3.0,29.0,0,0,43831,115.90,0,0,43831,114.81,0,0,3,35.32,0,0,3,33.64
1785521929.726,4.4,100.0,88.44,3.0,21.0,0,0,43831,115.89,0,0,43831,114.73,0,0,3,35.27,0,0,3,33.65
1785521930.726,4.3,100.0,88.44,6.0,18.0,0,0,43831,115.82,0,0,43831,114.62,0,0,3,35.32,0,0,3,33.65
1785521931.726,4.0,100.0,88.45,1.0,21.0,0,0,43831,115.72,0,0,43831,114.58,0,0,3,35.42,0,0,3,33.65
1785521932.726,9.2,100.0,89.11,4.0,16.0,0,0,43831,115.69,0,0,43831,114.50,0,0,3,35.42,0,0,3,33.65
1785521933.726,11.3,100.0,89.26,6.0,19.0,0,0,43831,115.64,0,0,43831,114.45,0,0,3,35.38,0,0,3,33.61
1785521934.726,11.6,100.0,89.25,5.0,21.0,0,0,43831,115.58,0,0,43831,114.40,0,0,3,35.38,0,0,3,33.61
1785521935.727,11.4,100.0,89.26,5.0,10.0,0,0,43831,115.53,0,0,43831,114.40,0,0,3,35.32,0,0,3,33.65
1785521936.727,11.9,100.0,89.28,5.0,10.0,0,0,43831,115.72,0,0,43831,114.43,0,0,3,35.27,0,0,3,33.60
1785521937.727,13.1,100.0,89.33,6.0,24.0,0,0,43831,115.71,0,0,43831,114.40,0,0,3,35.27,0,0,3,33.60
1785521938.727,13.1,100.0,89.36,4.0,20.0,0,0,43831,115.49,0,0,43831,114.43,0,0,3,35.32,0,0,3,33.65
1785521939.727,11.7,100.0,89.36,6.0,25.0,0,0,43831,115.51,0,0,43831,114.60,0,0,3,35.37,0,0,3,33.65
1785521940.727,11.5,100.0,89.33,6.0,19.0,0,0,43831,115.56,0,0,43831,114.55,0,0,3,35.37,0,0,3,33.65
1785521941.727,12.4,100.0,89.36,4.0,22.0,0,0,43831,115.50,0,0,43831,114.36,0,0,3,35.33,0,0,3,33.70
1785521942.727,17.5,100.0,90.34,5.0,17.0,0,0,43831,115.47,0,0,43831,114.38,0,0,3,35.29,0,0,3,33.71
1785521943.727,18.3,100.0,90.36,3.0,21.0,0,0,43831,115.46,0,0,43831,114.35,0,0,3,35.28,0,0,3,33.66
1785521944.727,18.3,72.0,90.47,5.0,22.0,0,0,43831,115.41,0,0,43831,114.35,0,0,3,35.34,0,0,3,33.62
1785521945.728,18.3,77.0,90.67,4.0,22.9,0,0,43831,115.41,0,0,43831,114.27,0,0,3,35.39,0,0,3,33.61
1785521946.728,15.2,100.0,90.22,5.0,15.1,0,0,43831,115.41,0,0,43831,114.23,0,0,3,35.39,0,0,3,33.71
1785521947.728,10.6,88.8,89.63,4.0,14.9,0,0,43831,115.41,0,0,43831,114.33,0,0,3,35.39,0,0,3,33.76
1785521948.728,4.1,100.0,89.57,6.0,15.0,0,0,43831,115.36,0,0,43831,114.43,0,0,3,35.39,0,0,3,33.77
1785521949.728,4.9,100.0,89.56,6.0,14.0,0,0,43831,115.33,0,0,43831,114.54,0,0,3,35.43,0,0,3,33.76
1785521950.728,4.2,100.0,89.50,5.0,15.0,0,0,43831,115.34,0,0,43831,114.60,0,0,3,35.42,0,0,3,33.71
1785521951.728,4.7,100.0,89.49,5.0,13.0,0,0,43831,115.38,0,0,43831,114.61,0,0,3,35.43,0,0,3,33.71
1785521952.728,3.4,100.0,89.47,6.0,36.0,0,0,43831,115.39,0,0,43831,114.61,0,0,3,35.44,0,0,3,33.75
1785521953.728,4.8,100.0,89.45,5.0,20.0,0,0,43831,115.38,0,0,43831,114.60,0,0,3,35.44,0,0,3,33.75
1785521954.728,4.5,100.0,89.44,5.0,21.0,0,0,43831,115.37,0,0,43831,114.60,0,0,3,35.48,0,0,3,33.71
1785521955.729,3.1,100.0,89.44,6.0,16.0,0,0,43831,115.37,0,0,43831,114.55,0,0,3,35.53,0,0,3,33.75
1785521956.729,8.0,100.0,89.75,5.0,476.9,0,0,43831,115.38,0,0,43831,114.65,0,0,3,35.53,0,0,3,33.80
1785521957.729,4.1,100.0,89.43,7.0,24.0,0,0,43831,115.35,0,0,43831,114.73,0,0,3,35.44,0,0,3,33.75
1785521958.729,3.3,100.0,89.43,4.0,33.0,0,0,43831,115.35,0,0,43831,114.64,0,0,3,35.39,0,0,3,33.75
1785521959.729,3.4,100.0,89.44,5.0,24.0,0,0,43831,115.36,0,0,43831,114.69,0,0,3,35.47,0,0,3,33.75
1785521960.729,3.7,100.0,89.41,7.0,10.0,0,0,43831,115.35,0,0,43831,114.65,0,0,3,35.52,0,0,3,33.80
1785521961.729,5.4,100.0,89.40,4.0,11.0,0,0,43831,115.37,0,0,43831,114.65,0,0,3,35.47,0,0,3,33.80
1785521962.729,5.8,100.0,89.40,7.0,21.0,0,0,43831,115.30,0,0,43831,114.65,0,0,3,35.42,0,0,3,33.75
1785521963.729,4.6,100.0,89.39,3.0,45.0,0,0,43831,115.31,0,0,43831,114.55,0,0,3,35.42,0,0,3,33.75
1785521964.730,3.9,100.0,89.40,6.0,21.0,0,0,43831,115.32,0,0,43831,114.55,0,0,3,35.47,0,0,3,33.75
1785521965.730,7.0,100.0,89.54,6.0,29.0,0,0,43831,115.50,0,0,43831,114.50,0,0,3,35.49,0,0,3,33.75
