ts,cpu_total,cpu_max_core,ram_used_gb,cpu_server_pct,cpu_client_pct,gpu0_util,gpu0_memutil,gpu0_mem_mib,gpu0_power_w,gpu1_util,gpu1_memutil,gpu1_mem_mib,gpu1_power_w,gpu2_util,gpu2_memutil,gpu2_mem_mib,gpu2_power_w,gpu3_util,gpu3_memutil,gpu3_mem_mib,gpu3_power_w
1785713242.875,1.8,100.0,24.78,18.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.42,0,0,0,30.65
1785713243.875,2.1,84.0,24.78,18.0,0.0,0,0,0,32.08,0,0,0,30.79,0,0,0,30.42,0,0,0,30.70
1785713244.875,1.8,100.0,24.77,18.0,0.0,0,0,0,32.08,0,0,0,30.79,0,0,0,30.42,0,0,0,30.71
1785713245.875,3.4,68.3,24.76,16.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.52,0,0,0,30.62
1785713246.875,1.8,100.0,24.76,17.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.52,0,0,0,30.67
1785713247.876,2.0,61.0,24.75,15.0,0.0,0,0,0,32.00,0,0,0,30.89,0,0,0,30.52,0,0,0,30.76
1785713248.876,2.4,90.9,24.76,16.0,0.0,0,0,0,32.00,0,0,0,30.90,0,0,0,30.52,0,0,0,30.76
1785713249.876,2.9,100.0,24.78,17.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.52,0,0,0,30.72
1785713250.876,1.9,100.0,24.78,16.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.47,0,0,0,30.66
1785713251.876,2.1,66.3,24.77,18.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.52,0,0,0,30.70
1785713252.876,1.9,100.0,24.78,16.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.62,0,0,0,30.70
1785713253.876,2.0,65.3,24.78,17.0,0.0,0,0,0,31.94,0,0,0,30.79,0,0,0,30.57,0,0,0,30.66
1785713254.876,1.9,100.0,24.77,20.0,0.0,0,0,0,31.99,0,0,0,30.85,0,0,0,30.57,0,0,0,30.66
1785713255.876,2.0,100.0,24.78,18.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.57,0,0,0,30.66
1785713256.876,3.3,100.0,24.78,21.0,0.0,0,0,0,32.04,0,0,0,30.75,0,0,0,30.61,0,0,0,30.67
1785713257.877,5.2,92.9,24.78,17.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.66,0,0,0,30.72
1785713258.877,3.8,100.0,24.76,14.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.61,0,0,0,30.76
1785713259.877,2.4,100.0,24.76,17.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.58,0,0,0,30.76
1785713260.877,1.8,96.0,24.75,16.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.58,0,0,0,30.67
1785713261.877,2.3,100.0,24.73,15.0,0.0,0,0,0,32.05,0,0,0,30.75,0,0,0,30.47,0,0,0,30.57
1785713262.877,1.9,100.0,24.73,18.0,0.0,0,0,0,32.05,0,0,0,30.79,0,0,0,30.47,0,0,0,30.61
1785713263.877,1.9,100.0,24.72,16.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.47,0,0,0,30.71
1785713264.877,2.3,84.0,24.74,13.0,0.0,0,0,0,32.04,0,0,0,30.80,0,0,0,30.47,0,0,0,30.77
1785713265.877,2.0,100.0,24.74,16.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.47,0,0,0,30.76
1785713266.878,1.9,94.0,24.73,18.0,0.0,0,0,0,32.05,0,0,0,30.84,0,0,0,30.42,0,0,0,30.71
1785713267.878,1.7,77.2,24.75,17.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.47,0,0,0,30.70
1785713268.878,2.2,67.3,24.76,16.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.52,0,0,0,30.71
1785713269.878,1.7,100.0,24.77,15.0,0.0,0,0,0,31.99,0,0,0,30.89,0,0,0,30.47,0,0,0,30.67
1785713270.878,2.4,78.0,24.78,14.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713271.878,1.8,100.0,24.76,11.0,0.0,0,0,0,31.99,0,0,0,30.74,0,0,0,30.47,0,0,0,30.65
1785713272.878,2.6,83.8,24.77,12.0,0.0,0,0,0,31.99,0,0,0,30.79,0,0,0,30.47,0,0,0,30.66
1785713273.878,2.7,100.0,24.76,12.0,0.0,0,0,0,31.99,0,0,0,30.84,0,0,0,30.47,0,0,0,30.66
1785713274.878,2.6,100.0,24.75,11.0,0.0,0,0,0,31.99,0,0,0,30.80,0,0,0,30.47,0,0,0,30.65
1785713275.878,1.7,100.0,24.75,7.0,0.0,0,0,0,32.08,0,0,0,30.79,0,0,0,30.47,0,0,0,30.66
1785713276.879,3.6,74.0,24.75,12.0,0.0,0,0,0,32.09,0,0,0,30.84,0,0,0,30.47,0,0,0,30.71
1785713277.879,1.8,100.0,24.75,10.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.42,0,0,0,30.71
1785713278.879,1.9,85.0,24.74,11.0,0.0,0,0,0,32.04,0,0,0,30.79,0,0,0,30.42,0,0,0,30.67
1785713279.879,2.3,100.0,24.76,10.0,0.0,0,0,0,32.04,0,0,0,30.84,0,0,0,30.52,0,0,0,30.60
1785713280.879,2.4,100.0,24.78,8.0,0.0,0,0,0,32.04,0,0,0,30.85,0,0,0,30.56,0,0,0,30.56
1785713281.879,2.1,100.0,24.77,12.0,0.0,0,0,0,32.09,0,0,0,30.79,0,0,0,30.56,0,0,0,30.61
